area_fips	avg_wkly_wage
01001	736
01003	651
01005	675
01007	778
01009	633
01011	580
01013	618
01015	676
01017	675
01019	623
01021	687
01023	1001
01025	749
01027	665
01029	863
01031	611
01033	794
01035	669
01037	731
01039	668
01041	638
01043	717
01045	1070
01047	746
01049	665
01051	661
01053	737
01055	673
01057	603
01059	634
01061	583
01063	628
01065	679
01067	744
01069	756
01071	641
01073	1111
01075	722
01077	618
01079	626
01081	684
01083	817
01085	877
01087	568
01089	1034
01091	795
01093	633
01095	635
01097	867
01099	838
01101	808
01103	847
01105	566
01107	660
01109	722
01111	617
01113	707
01115	705
01117	1084
01119	678
01121	857
01123	628
01125	780
01127	721
01129	1431
01131	950
01133	663
01999	1402
02013	1059
02016	1138
02020	1062
02050	883
02060	890
02068	1409
02070	766
02090	896
02100	780
02105	500
02110	865
02122	907
02130	801
02150	801
02158	614
02164	683
02170	727
02180	962
02185	2233
02188	1675
02195	549
02198	628
02220	720
02230	707
02240	1236
02261	1239
02275	587
02282	627
02290	961
02999	1211
04001	755
04003	730
04005	744
04007	817
04009	730
04011	1432
04012	601
04013	1054
04015	678
04017	735
04019	856
04021	724
04023	675
04025	705
04027	647
04999	1777
05001	739
05003	873
05005	648
05007	1506
05009	683
05011	627
05013	1089
05015	554
05017	579
05019	674
05021	523
05023	594
05025	0
05027	772
05029	706
05031	724
05033	663
05035	677
05037	595
05039	611
05041	682
05043	628
05045	714
05047	679
05049	538
05051	658
05053	723
05055	704
05057	668
05059	682
05061	626
05063	687
05065	592
05067	734
05069	746
05071	581
05073	543
05075	603
05077	597
05079	588
05081	1270
05083	617
05085	651
05087	643
05089	579
05091	718
05093	940
05095	567
05097	457
05099	828
05101	418
05103	637
05105	613
05107	576
05109	570
05111	689
05113	581
05115	749
05117	601
05119	923
05121	579
05123	588
05125	647
05127	535
05129	489
05131	798
05133	627
05135	587
05137	524
05139	1046
05141	714
05143	864
05145	673
05147	652
05149	552
05999	0
06001	1444
06003	614
06005	733
06007	737
06009	603
06011	751
06013	1358
06015	660
06017	912
06019	757
06021	704
06023	694
06025	568
06027	745
06029	829
06031	703
06033	689
06035	718
06037	1192
06039	747
06041	1335
06043	587
06045	690
06047	730
06049	601
06051	649
06053	803
06055	982
06057	766
06059	1208
06061	1040
06063	732
06065	775
06067	1033
06069	797
06071	826
06073	1149
06075	2334
06077	800
06079	799
06081	2462
06083	976
06085	2540
06087	899
06089	751
06091	513
06093	678
06095	1115
06097	966
06099	845
06101	727
06103	742
06105	600
06107	679
06109	753
06111	1087
06113	917
06115	849
06999	1767
08001	959
08003	687
08005	1374
08007	563
08009	609
08011	627
08013	1311
08014	1857
08015	576
08017	934
08019	809
08021	574
08023	546
08025	659
08027	635
08029	569
08031	1424
08033	612
08035	1326
08037	836
08039	788
08041	930
08043	625
08045	928
08047	845
08049	580
08051	615
08053	572
08055	652
08057	720
08059	1129
08061	771
08063	669
08065	704
08067	831
08069	975
08071	741
08073	630
08075	688
08077	785
08079	548
08081	909
08083	652
08085	661
08087	794
08089	632
08091	652
08093	760
08095	661
08097	922
08099	574
08101	770
08103	1108
08105	693
08107	783
08109	588
08111	452
08113	736
08115	683
08117	695
08119	800
08121	1038
08123	1013
08125	709
08999	1756
09001	2024
09003	1432
09005	841
09007	1012
09009	1075
09011	1191
09013	796
09015	815
09999	2188
10001	0
10003	1396
10005	740
10999	0
11001	1758
12001	747
12003	588
12005	713
12007	721
12009	907
12011	995
12013	536
12015	685
12017	714
12019	710
12021	860
12023	646
12027	654
12029	661
12031	1049
12033	840
12035	611
12037	535
12039	671
12041	617
12043	787
12045	663
12047	992
12049	572
12051	617
12053	662
12055	610
12057	1058
12059	495
12061	778
12063	614
12065	613
12067	504
12069	666
12071	799
12073	777
12075	583
12077	734
12079	582
12081	784
12083	689
12085	778
12086	1031
12087	728
12089	701
12091	797
12093	870
12095	932
12097	677
12099	1046
12101	712
12103	908
12105	815
12107	658
12109	881
12111	722
12113	684
12115	845
12117	908
12119	707
12121	614
12123	776
12125	639
12127	723
12129	689
12131	697
12133	614
12999	1649
13001	1139
13003	687
13005	661
13007	805
13009	584
13011	608
13013	709
13015	830
13017	595
13019	695
13021	842
13023	510
13025	553
13027	665
13029	635
13031	610
13033	1653
13035	663
13037	548
13039	699
13043	513
13045	829
13047	627
13049	723
13051	888
13053	916
13055	622
13057	779
13059	882
13061	462
13063	1220
13065	677
13067	1222
13069	638
13071	617
13073	721
13075	536
13077	760
13079	635
13081	654
13083	677
13085	544
13087	637
13089	1163
13091	544
13093	618
13095	751
13097	710
13099	860
13101	751
13103	868
13105	629
13107	681
13109	530
13111	569
13113	788
13115	797
13117	985
13119	683
13121	1706
13123	589
13125	472
13127	770
13129	916
13131	644
13133	705
13135	1076
13137	706
13139	888
13141	770
13143	799
13145	559
13147	704
13149	1173
13151	681
13153	693
13155	625
13157	743
13159	610
13161	632
13163	741
13165	562
13167	584
13169	649
13171	635
13173	544
13175	665
13177	639
13179	702
13181	592
13183	514
13185	634
13187	569
13189	643
13191	523
13193	759
13195	617
13197	612
13199	708
13201	552
13205	585
13207	798
13209	601
13211	697
13213	639
13215	899
13217	807
13219	717
13221	620
13223	641
13225	677
13227	862
13229	623
13231	664
13233	695
13235	723
13237	603
13239	585
13241	553
13243	574
13245	816
13247	875
13249	638
13251	669
13253	622
13255	675
13257	736
13259	743
13261	726
13263	762
13265	403
13267	680
13269	686
13271	522
13273	603
13275	789
13277	627
13279	653
13281	578
13283	531
13285	844
13287	572
13289	591
13291	716
13293	677
13295	630
13297	796
13299	678
13301	845
13303	789
13305	795
13307	841
13309	632
13311	570
13313	858
13315	526
13317	615
13319	907
13321	630
13999	1528
15001	740
15003	964
15007	787
15009	798
15999	1402
